Ubigeo;Fecha-Actualizacion;Departamento;Provincia;Distrito;CentroPoblado;Modular;Nombre;Direccion;NivelEducativo;NroUsuarios;DescripcionUT;Comite;Item
70101;2020-01-15;CALLAO;CALLAO;CALLAO;AAHH SARITA COLONIA;1085539;AGUSTIN DE HIPONA;AVENIDA RAMIRO PRIALE - ANTENOR ORREGO;PRIMARIA;150; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;SARITA COLONIA;631069;79 LOS ANGELES DE SARITA;CALLE LA SIMA MZ L LOTE 27;INICIAL;214; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;SARITA COLONIA;659698;5082 SARITA COLONIA;HAYA DE LA TORRE Y RAMIRO PRIALE;PRIMARIA;481; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;SARITA COLONIA;1084292;AGUSTIN DE HIPONA;AVENIDA RAMIRO PRIALE - ANTENOR ORREGO;INICIAL;85; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;SARITA COLONIA;1280585;136 LOS NIÑOS DE MARIA;CALLE CARLOS CUETO FERNANDINI Y RODRIGO FRANCO MZ W LOTE 32;INICIAL;154; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;FRANCISCO BOLOGNESI;1084987;SAN VICENTE;ALFONSO UGARTE-LEONCIO PRADO;PRIMARIA;162; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;FRANCISCO BOLOGNESI;1084946;SAN VICENTE;ALFONSO UGARTE-LEONCIO PRADO;INICIAL;83; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 3
70101;2020-01-15;CALLAO;CALLAO;CALLAO;URB RAMON CASTILLA;215657;5046 - JOSE GALVEZ EGUSQUIZA;JIRON TALARA S/N;PRIMARIA;537; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 1
70101;2020-01-15;CALLAO;CALLAO;CALLAO;VIPOL;526509;JUAN INGUNZA VALDIVIA;AVENIDA NENUFARES 401;INICIAL;180; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 4
70101;2020-01-15;CALLAO;CALLAO;CALLAO;TODOSA UNIDOS;3872026;CORAZON DE JESUS;PASAJE RAMON CASTILLA S/N;INICIAL;25; LIMA METROPOLITANA y CALLAO;CALLAO 1;CALLAO 1
